Fscl-yr_Ex-fin,Project-nbr_No-de-projet,On-time_Respect-des-delais,On-budget_Respect-du-budget,On-scope_Respect-de-la-portee,Overall-project-health_Sante-globale-du-projet
2021-2022,2021-2022-00619,1,1,0,1
2021-2022,2021-2022-00620,1,1,1,1
2021-2022,2021-2022-00622,1,1,1,1
2021-2022,2021-2022-00624,1,1,1,1
2021-2022,2021-2022-00625,1,1,1,1
2021-2022,2021-2022-00626,1,1,1,1
2021-2022,2021-2022-00627,1,1,1,1
2021-2022,2021-2022-00628,1,1,1,1
2021-2022,2021-2022-00630,1,1,1,1
2021-2022,2021-2022-00631,1,1,1,1
2021-2022,2021-2022-00633,1,1,1,1
2021-2022,2021-2022-00634,1,1,1,1
2021-2022,2021-2022-00638,2,1,1,2
2021-2022,2021-2022-00640,1,1,1,1
2021-2022,2021-2022-00642,2,1,1,2
2021-2022,2021-2022-00644,1,1,1,1
2021-2022,2021-2022-00645,1,1,1,1
2021-2022,2021-2022-00646,2,1,1,2
2021-2022,2021-2022-00647,2,1,1,2
2021-2022,2021-2022-00648,1,1,1,1
2021-2022,2021-2022-00649,1,1,1,1
2021-2022,2021-2022-00652,1,1,1,1
2021-2022,2021-2022-00653,3,1,1,3
2021-2022,2021-2022-00654,1,1,1,1
2021-2022,2021-2022-00655,2,1,1,2
2021-2022,2021-2022-00656,1,1,1,1
2021-2022,2021-2022-00657,2,1,1,2
2021-2022,2021-2022-00659,1,1,1,1
2021-2022,2021-2022-00667,1,1,1,1
2021-2022,2021-2022-00671,1,1,1,1
2021-2022,2021-2022-00672,1,1,1,1
2021-2022,2021-2022-00674,1,1,1,1
2021-2022,2021-2022-00675,1,1,1,1
2021-2022,2021-2022-00676,1,1,1,1
2021-2022,2021-2022-00678,1,1,1,1
2021-2022,2021-2022-00682,1,1,1,1
2021-2022,2021-2022-00683,1,1,1,1
2021-2022,2021-2022-00684,1,1,1,1
2021-2022,2021-2022-00685,1,1,1,1
2021-2022,2021-2022-00686,1,1,1,1
2021-2022,2021-2022-00687,1,1,1,1
2021-2022,2021-2022-00689,1,1,1,1
2021-2022,2021-2022-00690,1,1,1,1
2021-2022,2021-2022-00692,1,1,1,1
2021-2022,2021-2022-00695,1,1,1,1
2021-2022,2021-2022-00696,1,1,1,1
2021-2022,2021-2022-00697,2,3,2,3
2021-2022,2021-2022-00698,1,1,1,1
